latin_form,english_translation,chapter

bene,well,1
posteā,afterward,1

diū,for a long time,2
nōn,not,2
nunc,now,2

deinde,then,3
valdē,"very, exceedingly",3

longē,far,5
semper,always,5

saepe,often,6

tunc,then,8

tandem,at last,9

ita,yes,11
minimē,no,11
quoque,also,11
ūnā,together,11

ibi,there,12
statim,immediately,12
subitō,suddenly,12

tantum,only,13
tum,then,13

iam,"already, now",14
mox,soon,14

cūr,why,15
etiam,"even, also",15
fortasse,perhaps,15
sīcut,just as,15
ubīque,everywhere,15
umquam,ever,15

numquam,never,16
